Impact,Year,Country,Protection,Impact Func ID
32645.87222988351,2008,ETH,No Protection,0
21429.049301310293,2009,ETH,No Protection,0
119877.50505550127,2010,ETH,No Protection,0
43142.966645958826,2011,ETH,No Protection,0
64444.569308635444,2012,ETH,No Protection,0
107528.6888063618,2013,ETH,No Protection,0
111382.5190297248,2014,ETH,No Protection,0
45215.76311928745,2015,ETH,No Protection,0
197929.32797155986,2016,ETH,No Protection,0
124327.89867168461,2017,ETH,No Protection,0
173350.3680109785,2018,ETH,No Protection,0
178868.10261104308,2019,ETH,No Protection,0
280235.21037539776,2020,ETH,No Protection,0
124128.12742591303,2021,ETH,No Protection,0
156459.74346222947,2022,ETH,No Protection,0
207778.92354574185,2023,ETH,No Protection,0
53500.37660632806,2008,ETH,No Protection,1
40460.87132840349,2009,ETH,No Protection,1
110633.34075011597,2010,ETH,No Protection,1
55764.79211265659,2011,ETH,No Protection,1
72250.83599789796,2012,ETH,No Protection,1
109288.3463137699,2013,ETH,No Protection,1
115580.82392667729,2014,ETH,No Protection,1
66094.11421284678,2015,ETH,No Protection,1
156029.6883586076,2016,ETH,No Protection,1
96952.25796709041,2017,ETH,No Protection,1
145902.38824969443,2018,ETH,No Protection,1
146363.59124633632,2019,ETH,No Protection,1
222353.12979556798,2020,ETH,No Protection,1
113517.14699819947,2021,ETH,No Protection,1
135202.13998548422,2022,ETH,No Protection,1
175170.98997432904,2023,ETH,No Protection,1
27792.846353115496,2008,ETH,No Protection,2
18836.69140297772,2009,ETH,No Protection,2
85596.74554731099,2010,ETH,No Protection,2
33022.07022326345,2011,ETH,No Protection,2
47184.58894087979,2012,ETH,No Protection,2
79017.36150246374,2013,ETH,No Protection,2
83637.5344427713,2014,ETH,No Protection,2
36570.667645050904,2015,ETH,No Protection,2
138952.3763483353,2016,ETH,No Protection,2
85123.79852083852,2017,ETH,No Protection,2
121391.08856495138,2018,ETH,No Protection,2
124448.53055740696,2019,ETH,No Protection,2
195196.0437111358,2020,ETH,No Protection,2
88378.67062202372,2021,ETH,No Protection,2
110834.74084891588,2022,ETH,No Protection,2
148296.07382332708,2023,ETH,No Protection,2
31369.442956573086,2008,ETH,No Protection,3
19788.07716212818,2009,ETH,No Protection,3
118051.17686493677,2010,ETH,No Protection,3
42171.61179939136,2011,ETH,No Protection,3
62091.21908489501,2012,ETH,No Protection,3
105285.71438758557,2013,ETH,No Protection,3
109092.02014629143,2014,ETH,No Protection,3
43650.39259382829,2015,ETH,No Protection,3
195275.0054486706,2016,ETH,No Protection,3
122829.35264079894,2017,ETH,No Protection,3
169923.59222343384,2018,ETH,No Protection,3
176202.4989406026,2019,ETH,No Protection,3
274666.3328785915,2020,ETH,No Protection,3
122510.80937960502,2021,ETH,No Protection,3
154619.44659066238,2022,ETH,No Protection,3
203703.34615637147,2023,ETH,No Protection,3
31525.37779833056,2008,ETH,No Protection,4
22395.155434559427,2009,ETH,No Protection,4
82489.52226099484,2010,ETH,No Protection,4
34927.632599675606,2011,ETH,No Protection,4
47912.63341995333,2012,ETH,No Protection,4
78266.97930284688,2013,ETH,No Protection,4
83504.22288619752,2014,ETH,No Protection,4
40090.00599747114,2015,ETH,No Protection,4
129108.98331338084,2016,ETH,No Protection,4
78413.26592116305,2017,ETH,No Protection,4
114390.05681942496,2018,ETH,No Protection,4
116336.27034843736,2019,ETH,No Protection,4
181525.03160036122,2020,ETH,No Protection,4
84911.32280230716,2021,ETH,No Protection,4
105059.04531352952,2022,ETH,No Protection,4
140267.4071391085,2023,ETH,No Protection,4
39361.61707922812,2008,ETH,No Protection,5
26276.166682168296,2009,ETH,No Protection,5
126967.96530962558,2010,ETH,No Protection,5
47910.432602915316,2011,ETH,No Protection,5
69167.56431810097,2012,ETH,No Protection,5
116277.71224072657,2013,ETH,No Protection,5
122626.26613540982,2014,ETH,No Protection,5
52403.92646179946,2015,ETH,No Protection,5
207471.63394749092,2016,ETH,No Protection,5
127729.86720738585,2017,ETH,No Protection,5
180912.1883764755,2018,ETH,No Protection,5
185907.12922366636,2019,ETH,No Protection,5
291518.3987772329,2020,ETH,No Protection,5
131234.0493113388,2021,ETH,No Protection,5
164967.66380445438,2022,ETH,No Protection,5
220347.2723205019,2023,ETH,No Protection,5
51363.200898457544,2008,ETH,No Protection,6
37363.26236513715,2009,ETH,No Protection,6
120531.70949259534,2010,ETH,No Protection,6
53266.085293215925,2011,ETH,No Protection,6
69940.38710029183,2012,ETH,No Protection,6
116153.24759452473,2013,ETH,No Protection,6
127436.25136165392,2014,ETH,No Protection,6
63209.16593739048,2015,ETH,No Protection,6
187925.15139998545,2016,ETH,No Protection,6
110031.08823031104,2017,ETH,No Protection,6
165615.76934651108,2018,ETH,No Protection,6
166931.8435175927,2019,ETH,No Protection,6
262457.6530153491,2020,ETH,No Protection,6
122867.29826354848,2021,ETH,No Protection,6
151786.11106403635,2022,ETH,No Protection,6
207832.78604789663,2023,ETH,No Protection,6
29199.319995531652,2008,ETH,No Protection,7
17865.374310029652,2009,ETH,No Protection,7
117257.15576493906,2010,ETH,No Protection,7
41338.51560571819,2011,ETH,No Protection,7
59346.944476370096,2012,ETH,No Protection,7
102404.54797123086,2013,ETH,No Protection,7
106170.02711236531,2014,ETH,No Protection,7
41476.93676121705,2015,ETH,No Protection,7
193573.79729500937,2016,ETH,No Protection,7
122975.6781248007,2017,ETH,No Protection,7
167711.2904313128,2018,ETH,No Protection,7
175463.8763080331,2019,ETH,No Protection,7
271965.59607704834,2020,ETH,No Protection,7
121669.76826271105,2021,ETH,No Protection,7
153575.11971167658,2022,ETH,No Protection,7
199579.12540780462,2023,ETH,No Protection,7
25771.910631510545,2008,ETH,No Protection,8
18248.844086166402,2009,ETH,No Protection,8
98589.07259946332,2010,ETH,No Protection,8
35324.77238654654,2011,ETH,No Protection,8
55653.71063250687,2012,ETH,No Protection,8
88532.62809198325,2013,ETH,No Protection,8
89410.78449126736,2014,ETH,No Protection,8
36824.49807256115,2015,ETH,No Protection,8
162317.69967414922,2016,ETH,No Protection,8
103950.2414452157,2017,ETH,No Protection,8
145400.26682376614,2018,ETH,No Protection,8
149058.0747398108,2019,ETH,No Protection,8
235748.31489781657,2020,ETH,No Protection,8
102101.5847045274,2021,ETH,No Protection,8
127965.70423877223,2022,ETH,No Protection,8
171895.94356218853,2023,ETH,No Protection,8
32645.87222988351,2008,ETH,No Protection,9
21429.049301310293,2009,ETH,No Protection,9
119877.50505550127,2010,ETH,No Protection,9
43142.966645958826,2011,ETH,No Protection,9
64444.569308635444,2012,ETH,No Protection,9
107528.6888063618,2013,ETH,No Protection,9
111382.5190297248,2014,ETH,No Protection,9
45215.76311928745,2015,ETH,No Protection,9
197929.32797155986,2016,ETH,No Protection,9
124327.89867168461,2017,ETH,No Protection,9
173350.3680109785,2018,ETH,No Protection,9
178868.10261104308,2019,ETH,No Protection,9
280235.21037539776,2020,ETH,No Protection,9
124128.12742591303,2021,ETH,No Protection,9
156459.74346222947,2022,ETH,No Protection,9
207778.92354574185,2023,ETH,No Protection,9
46551.78951560423,2008,ETH,No Protection,10
34635.057653325806,2009,ETH,No Protection,10
101558.36553999002,2010,ETH,No Protection,10
48949.06375257736,2011,ETH,No Protection,10
64150.39927403681,2012,ETH,No Protection,10
99182.53170980744,2013,ETH,No Protection,10
105737.52896337862,2014,ETH,No Protection,10
57710.11975037527,2015,ETH,No Protection,10
147997.24544685424,2016,ETH,No Protection,10
91243.89983748883,2017,ETH,No Protection,10
